               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11094,            0.027807,                   0,           0.0013456,             0.38596,           0.0016671,           0.0003808,            0.090282,            0.017226,                   0,               0.082,               0.002,               0.002
                   1,            0.091574,            0.023038,                   0,           0.0025382,             0.72807,           0.0092847,           0.0025522,            0.079224,            0.013598,                   0,            0.062999,           0.0039985,           0.0039985
                   2,            0.076877,            0.019788,                   0,             0.16763,             0.13158,             0.11649,            0.027076,            0.085507,            0.010455,                   0,            0.043893,           0.0058931,           0.0058931
                   3,            0.071783,            0.020096,                   0,             0.68737,             0.27005,              0.4313,             0.16994,             0.06184,            0.011027,                   0,            0.024684,           0.0076837,           0.0076837
                   4,            0.063888,             0.01984,                   0,             0.52913,             0.41228,             0.40308,             0.15793,            0.061538,            0.010038,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.058856,            0.019932,                   0,             0.51535,             0.46491,             0.51763,             0.17099,            0.056282,           0.0097288,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.056158,            0.017352,                   0,             0.59058,             0.53509,             0.59071,             0.26016,            0.050324,           0.0093399,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.051906,            0.016679,                   0,             0.56008,             0.60526,              0.6196,             0.28523,            0.048136,           0.0094535,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.048876,            0.015607,                   0,             0.66339,             0.67544,             0.69841,             0.25031,            0.048375,           0.0083002,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.045732,            0.014667,                   0,             0.71862,              0.7617,               0.763,             0.33901,            0.044688,           0.0077285,                   0,             0.00802,             0.00802,             0.00802
