               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11094,            0.027807,                   0,           0.0013456,             0.38596,           0.0016671,           0.0003808,            0.090282,            0.017226,                   0,               0.082,               0.002,               0.002
                   1,            0.091528,            0.023014,                   0,           0.0025076,              0.7193,            0.010321,           0.0023005,             0.07923,            0.013461,                   0,            0.063059,           0.0040594,           0.0040594
                   2,            0.077153,             0.01974,                   0,             0.60313,             0.13158,             0.30634,            0.089724,            0.069635,            0.012007,                   0,            0.044077,           0.0060772,           0.0060772
                   3,              0.0718,            0.020173,                   0,             0.27216,             0.32456,             0.18313,            0.061413,            0.074379,           0.0096579,                   0,            0.025053,           0.0080535,           0.0080535
                   4,            0.066952,             0.01926,                   0,             0.53189,             0.36842,             0.44957,             0.13644,            0.060522,            0.010181,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.062448,            0.019647,                   0,             0.47136,             0.49277,             0.45806,             0.19208,            0.068128,           0.0088458,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.054191,            0.017704,                   0,             0.66452,             0.49123,             0.58893,             0.26498,            0.051765,           0.0094138,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.052963,            0.016481,                   0,             0.75419,             0.62281,              0.6793,             0.26053,            0.047946,           0.0091958,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.048381,            0.015455,                   0,             0.92006,             0.47368,             0.69188,             0.29354,            0.048925,           0.0079142,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048821,            0.014556,                   0,             0.78562,             0.67544,             0.73307,             0.24409,            0.046556,           0.0074168,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.046178,            0.012797,                   0,             0.87741,             0.71053,             0.79431,             0.33463,            0.044424,            0.007277,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.044867,            0.012752,                   0,             0.88496,             0.77193,              0.8174,             0.32913,            0.047265,           0.0065461,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.043115,            0.011383,                   0,             0.81035,             0.67468,             0.82087,             0.37643,            0.041543,           0.0062802,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.041376,            0.011632,                   0,             0.86512,             0.76316,              0.8359,             0.35396,            0.042998,           0.0061045,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041401,            0.010477,                   0,             0.83528,             0.64912,             0.69297,             0.25204,            0.050366,           0.0062817,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041321,            0.010112,                   0,             0.78535,             0.82456,             0.79797,             0.38342,            0.043557,           0.0061212,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.039197,            0.010251,                   0,             0.87011,             0.80702,             0.84709,             0.40383,            0.037888,           0.0058811,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.038201,           0.0096866,                   0,             0.87713,             0.83333,             0.87616,             0.44135,            0.038201,           0.0057496,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.036952,            0.009309,                   0,             0.91673,             0.86909,             0.90497,             0.44968,            0.036311,           0.0057011,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036489,           0.0093986,                   0,             0.90635,             0.85965,              0.9042,             0.45743,            0.037488,            0.005444,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.036907,           0.0088507,                   0,             0.85232,             0.85088,             0.89984,             0.45808,            0.039872,           0.0054289,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.036414,            0.008687,                   0,             0.89619,             0.83304,             0.89734,              0.4357,               0.037,           0.0054466,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.03564,           0.0083195,                   0,             0.86116,             0.85088,             0.86391,             0.43412,            0.039494,           0.0060086,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.03531,           0.0084588,                   0,             0.83874,              0.8669,             0.85387,              0.3856,            0.044423,           0.0055012,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.034621,           0.0084874,                   0,             0.89973,              0.8658,             0.90549,             0.46324,            0.035282,           0.0054909,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.033576,            0.008202,                   0,             0.89269,             0.87571,             0.87993,             0.45804,            0.037797,           0.0053816,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033004,           0.0086192,                   0,             0.91645,             0.86595,             0.87515,             0.45428,             0.03764,           0.0053894,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.034233,           0.0085185,                   0,             0.92798,             0.90418,             0.91948,             0.48358,            0.036061,           0.0053672,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.03299,            0.008411,                   0,             0.90527,             0.83833,             0.90182,              0.4686,            0.039573,           0.0052357,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.03238,           0.0079604,                   0,             0.90793,             0.87719,             0.90267,             0.49199,            0.035199,           0.0053543,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.031844,           0.0078436,                   0,             0.91652,             0.86681,             0.89743,             0.48317,            0.035169,           0.0053735,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.031208,           0.0080987,                   0,             0.91319,             0.85088,              0.9223,             0.48117,            0.037471,           0.0051919,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.031863,            0.007816,                   0,              0.9163,             0.86424,               0.929,             0.48868,            0.036064,           0.0052373,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.029244,           0.0076372,                   0,             0.88471,             0.87512,             0.92059,             0.51744,            0.034718,            0.005243,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.030089,           0.0079717,                   0,             0.94168,             0.84981,             0.88604,             0.49186,            0.036931,           0.0053365,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.030615,           0.0081374,                   0,             0.91692,              0.8713,             0.90889,             0.48802,            0.036486,           0.0053275,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.030309,           0.0077591,                   0,             0.90673,             0.87719,             0.90778,             0.51049,            0.035279,           0.0054786,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.026974,           0.0076375,                   0,             0.92563,             0.87345,             0.88902,             0.51583,            0.034689,           0.0055469,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.028125,           0.0076084,                   0,             0.85718,             0.84211,             0.88528,              0.4479,            0.038727,           0.0051141,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.028369,           0.0077064,                   0,             0.88013,             0.90172,             0.90554,             0.50871,            0.035795,            0.005192,                   0,            0.006238,            0.006238,            0.006238
